ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9bc2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-used_nodes,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9bc2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-used_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9bc2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-used_gpu_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9bc2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-total_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9bc2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-arrived_gpu_milli
131,312,276200,6212,276200
131,312,276430,6212,276430
132,314,277430,6212,277430
133,316,279430,6212,279430
134,324,279430,6212,279430
134,324,280430,6212,280430
135,326,281430,6212,281430
135,326,282430,6212,282430
135,326,282430,6212,282430
136,328,282900,6212,282900
137,330,283900,6212,283900
137,330,284710,6212,284710
138,334,288710,6212,288710
138,334,289710,6212,289710
139,336,290300,6212,290300
139,336,290620,6212,290620
139,336,291620,6212,291620
140,338,292620,6212,292620
140,338,292840,6212,292840
141,340,294840,6212,294840
141,340,295490,6212,295490
141,340,295810,6212,295810
142,342,296460,6212,296460
142,342,296690,6212,296690
142,342,297500,6212,297500
142,342,297500,6212,297500
143,344,298500,6212,298500
143,344,298970,6212,298970
143,344,298970,6212,298970
144,346,299780,6212,299780
144,346,300250,6212,300250
144,346,301250,6212,301250
145,348,302060,6212,302060
145,348,303060,6212,303060
146,350,303710,6212,303710
146,350,304520,6212,304520
147,352,305330,6212,305330
147,352,306330,6212,306330
148,354,306980,6212,306980
148,354,307630,6212,307630
149,356,308630,6212,308630
149,356,309630,6212,309630
150,358,310280,6212,310280
150,358,311280,6212,311280
150,358,311280,6212,311280
151,360,312090,6212,312090
151,360,313090,6212,313090
152,362,314090,6212,314090
153,370,314090,6212,314090
154,372,315090,6212,315090
154,372,315410,6212,315410
154,372,316410,6212,316410
154,372,316410,6212,316410
154,372,317220,6212,317220
154,372,317220,6212,317220
155,374,318220,6212,318220
155,374,319220,6212,319220
156,376,319690,6212,319690
156,376,320690,6212,320690
156,376,320920,6212,320920
156,376,320920,6212,320920
156,376,321240,6212,321240
156,376,321710,6212,321710
156,376,322030,6212,322030
157,378,323030,6212,323030
157,378,323840,6212,323840
158,380,324840,6212,324840
158,380,325840,6212,325840
158,380,325840,6212,325840
159,382,326840,6212,326840
159,382,327310,6212,327310
160,384,327680,6212,327680
160,384,328150,6212,328150
160,384,328380,6212,328380
161,386,329380,6212,329380
161,386,330380,6212,330380
161,386,330600,6212,330600
161,386,330600,6212,330600
162,388,331600,6212,331600
162,388,332600,6212,332600
163,390,333600,6212,333600
163,390,333920,6212,333920
163,390,333920,6212,333920
163,390,334920,6212,334920
163,390,334920,6212,334920
164,392,335920,6212,335920
165,394,336390,6212,336390
165,394,336710,6212,336710
165,394,337030,6212,337030
165,394,338030,6212,338030
166,396,338500,6212,338500
167,398,338970,6212,338970
167,398,339970,6212,339970
168,400,340970,6212,340970
168,400,340970,6212,340970
168,400,341440,6212,341440
169,408,349440,6212,349440
169,408,350250,6212,350250
170,416,358250,6212,358250
170,416,359060,6212,359060
171,418,360060,6212,360060
171,418,360870,6212,360870
172,422,364870,6212,364870
173,424,365870,6212,365870
173,424,366870,6212,366870
174,426,367420,6212,367420
174,426,367420,6212,367420
175,434,375420,6212,375420
175,434,376420,6212,376420
175,434,376420,6212,376420
176,436,376740,6212,376740
176,436,376740,6212,376740
176,436,377740,6212,377740
176,436,377970,6212,377970
176,436,377970,6212,377970
177,438,378970,6212,378970
178,440,379970,6212,379970
178,440,380970,6212,380970
179,442,381970,6212,381970
179,442,381970,6212,381970
179,442,381970,6212,381970
179,442,381970,6212,381970
179,442,382410,6212,382410
180,444,382880,6212,382880
181,446,383880,6212,383880
181,446,384880,6212,384880
181,446,384880,6212,384880
182,454,392880,6212,392880
182,454,393690,6212,393690
183,456,394690,6212,394690
184,464,402690,6212,402690
184,464,403690,6212,403690
184,464,404240,6212,404240
185,466,404710,6212,404710
185,466,405520,6212,405520
186,468,406520,6212,406520
186,468,406980,6212,406980
187,470,407980,6212,407980
187,470,408980,6212,408980
188,472,409980,6212,409980
188,472,410980,6212,410980
189,474,411790,6212,411790
189,474,411790,6212,411790
189,474,412790,6212,412790
190,482,420790,6212,420790
191,484,421790,6212,421790
191,484,422600,6212,422600
192,486,423150,6212,423150
192,486,423620,6212,423620
192,486,424620,6212,424620
193,488,425620,6212,425620
194,490,426620,6212,426620
194,490,427620,6212,427620
195,492,428620,6212,428620
196,494,429090,6212,429090
196,494,430090,6212,430090
196,494,430410,6212,430410
197,496,431410,6212,431410
197,496,432410,6212,432410
198,498,433410,6212,433410
198,498,434060,6212,434060
199,500,435060,6212,435060
199,500,435870,6212,435870
199,500,436870,6212,436870
199,500,437190,6212,437190
200,502,438190,6212,438190
200,502,438190,6212,438190
200,502,439190,6212,439190
200,502,439190,6212,439190
201,504,440190,6212,440190
201,504,441190,6212,441190
201,504,441510,6212,441510
201,504,442320,6212,442320
202,506,443320,6212,443320
202,506,444320,6212,444320
202,506,444320,6212,444320
203,508,445320,6212,445320
204,510,446320,6212,446320
204,510,447130,6212,447130
204,510,447600,6212,447600
204,510,448250,6212,448250
205,512,449060,6212,449060
205,512,450060,6212,450060
205,512,450060,6212,450060
205,512,450380,6212,450380
205,512,450380,6212,450380
206,514,451190,6212,451190
206,514,452000,6212,452000
207,516,453000,6212,453000
207,516,454000,6212,454000
208,518,454810,6212,454810
208,518,455460,6212,455460
209,520,456270,6212,456270
209,520,456430,6212,456430
209,520,456900,6212,456900
210,522,457710,6212,457710
210,522,458180,6212,458180
211,526,458180,6212,458180
211,526,458650,6212,458650
212,528,459650,6212,459650
212,528,459970,6212,459970
212,528,460970,6212,460970
213,530,461970,6212,461970
213,530,461970,6212,461970
213,530,462970,6212,462970
213,530,463130,6212,463130
214,538,463130,6212,463130
215,540,464130,6212,464130
215,540,464600,6212,464600
215,540,465600,6212,465600
215,540,465600,6212,465600
216,542,466070,6212,466070
216,542,467070,6212,467070
217,544,467880,6212,467880
217,544,468200,6212,468200
217,544,469200,6212,469200
218,546,469850,6212,469850
218,546,470660,6212,470660
219,548,471660,6212,471660
219,548,471660,6212,471660
220,556,479660,6212,479660
220,556,479880,6212,479880
220,556,479880,6212,479880
220,556,480690,6212,480690
221,558,481690,6212,481690
221,558,482690,6212,482690
222,560,483690,6212,483690
222,560,484690,6212,484690
223,562,485690,6212,485690
223,562,486280,6212,486280
224,564,487280,6212,487280
224,564,487930,6212,487930
225,566,488930,6212,488930
225,566,489400,6212,489400
225,566,489400,6212,489400
225,566,490210,6212,490210
226,568,490680,6212,490680
226,568,491150,6212,491150
226,568,491960,6212,491960
227,570,492960,6212,492960
227,570,493960,6212,493960
228,572,494770,6212,494770
228,572,495770,6212,495770
228,572,496140,6212,496140
229,574,497140,6212,497140
229,574,497600,6212,497600
230,576,498600,6212,498600
230,576,499600,6212,499600
231,578,500600,6212,500600
231,578,501600,6212,501600
232,580,502250,6212,502250
232,580,503250,6212,503250
233,582,504250,6212,504250
233,582,505250,6212,505250
234,584,506060,6212,506060
234,584,506280,6212,506280
234,584,506280,6212,506280
234,584,507280,6212,507280
235,586,508280,6212,508280
235,586,509280,6212,509280
236,588,510280,6212,510280
236,588,511280,6212,511280
237,590,511750,6212,511750
238,592,512750,6212,512750
238,592,513210,6212,513210
238,592,514210,6212,514210
238,592,515210,6212,515210
239,594,516210,6212,516210
239,594,516210,6212,516210
240,596,517210,6212,517210
240,596,518210,6212,518210
241,598,518680,6212,518680
241,598,519680,6212,519680
242,600,520680,6212,520680
242,600,521680,6212,521680
242,600,522330,6212,522330
243,602,523330,6212,523330
243,602,523330,6212,523330
243,602,524140,6212,524140
243,602,524490,6212,524490
243,602,524490,6212,524490
243,602,524490,6212,524490
244,604,525490,6212,525490
245,606,527490,6212,527490
245,606,528300,6212,528300
246,608,529300,6212,529300
246,608,529770,6212,529770
247,610,530770,6212,530770
247,610,531420,6212,531420
247,610,531740,6212,531740
247,610,532550,6212,532550
248,612,533360,6212,533360
248,612,534360,6212,534360
249,614,535170,6212,535170
249,614,535170,6212,535170
249,614,535170,6212,535170
250,618,539170,6212,539170
250,618,539760,6212,539760
251,620,540760,6212,540760
251,620,541760,6212,541760
252,622,542760,6212,542760
253,630,550760,6212,550760
253,630,551760,6212,551760
254,632,552760,6212,552760
254,632,553760,6212,553760
255,640,561760,6212,561760
256,642,562760,6212,562760
256,642,563760,6212,563760
257,644,564570,6212,564570
257,644,565570,6212,565570
258,646,566380,6212,566380
258,646,567380,6212,567380
259,648,568380,6212,568380
259,648,569380,6212,569380
260,650,570380,6212,570380
261,652,571380,6212,571380
261,652,572380,6212,572380
262,654,573380,6212,573380
262,654,573850,6212,573850
263,656,574850,6212,574850
263,656,575850,6212,575850
263,656,576850,6212,576850
264,664,584850,6212,584850
264,664,585320,6212,585320
265,666,586320,6212,586320
265,666,586320,6212,586320
265,666,586690,6212,586690
265,666,587500,6212,587500
266,668,588310,6212,588310
266,668,589310,6212,589310
267,670,589770,6212,589770
267,670,589770,6212,589770
267,670,590770,6212,590770
268,672,591770,6212,591770
