ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b22c-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-origin_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b22c-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-origin_ratio,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b22c-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-origin_q124,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b22c-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-bellman_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b22c-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-bellman_ratio
876995.43,14.55,1.2,317469.61,5.27
876995.43,14.55,1.2,317469.61,5.27
876292.37,14.54,1.19,316721.48,5.25
876292.37,14.54,1.19,316721.48,5.25
876292.37,14.54,1.19,316721.48,5.25
875754.22,14.53,1.19,316183.33,5.25
876067.33,14.54,1.19,315999.06,5.24
876749.79,14.55,1.21,316163.13,5.25
877062.91,14.56,1.21,315978.87,5.24
875995.43,14.56,1.22,315761.09,5.25
876133.03,14.56,1.22,315841.23,5.25
876446.15,14.57,1.23,315656.96,5.25
875933.09,14.56,1.22,315065.43,5.24
879339.2,14.62,1.28,317994.81,5.29
879190.73,14.62,1.28,317883.17,5.29
878893.79,14.62,1.28,317749.18,5.29
879725.4,14.63,1.29,318049.88,5.29
879212.35,14.63,1.28,317458.35,5.28
879279.29,14.63,1.29,317446.82,5.28
879346.23,14.63,1.29,317435.29,5.28
879659.35,14.64,1.3,317251.03,5.28
878956.29,14.63,1.29,316469.5,5.27
879787.9,14.64,1.3,316770.2,5.27
879286.35,14.64,1.29,316223.7,5.26
879137.88,14.64,1.29,316201.35,5.26
878636.32,14.63,1.29,315654.86,5.26
878934.27,14.64,1.3,315376.96,5.25
879266.09,14.65,1.3,315132.93,5.25
878544.33,14.64,1.29,314411.17,5.24
879226.79,14.65,1.31,314575.24,5.24
879226.79,14.65,1.31,314575.24,5.24
880058.4,14.67,1.32,314875.94,5.25
880371.52,14.67,1.33,314691.67,5.24
879858.46,14.67,1.32,314100.14,5.24
879359.27,14.66,1.32,313600.95,5.23
879672.39,14.67,1.32,313416.69,5.23
879489.33,14.67,1.32,313155.16,5.22
879626.93,14.67,1.33,313235.29,5.22
879940.04,14.68,1.33,313051.03,5.22
880550.1,14.69,1.35,313085.23,5.22
881160.16,14.7,1.36,313119.44,5.22
881473.28,14.71,1.37,312935.18,5.22
881786.39,14.72,1.37,312717.51,5.22
883256.19,14.74,1.4,313997.78,5.24
883256.19,14.74,1.4,313997.78,5.24
883478.84,14.75,1.41,313621.2,5.24
884140.71,14.76,1.42,313701.22,5.24
883073.23,14.76,1.42,313483.44,5.24
882560.17,14.76,1.41,312891.91,5.23
883391.79,14.77,1.43,313192.61,5.24
883391.79,14.77,1.43,313218.81,5.24
883723.61,14.78,1.44,312999.91,5.24
883001.85,14.77,1.43,312253.01,5.22
882488.79,14.77,1.42,311661.48,5.21
882406.2,14.76,1.42,311602.27,5.21
882719.32,14.77,1.43,311384.61,5.21
883051.14,14.78,1.44,311140.57,5.21
883442.09,14.79,1.45,311668.28,5.22
882929.03,14.78,1.44,311110.15,5.21
883085.72,14.79,1.44,311957.59,5.22
883398.83,14.8,1.45,311739.92,5.22
883711.95,14.8,1.46,311522.26,5.22
883711.95,14.8,1.46,311522.26,5.22
884543.56,14.82,1.48,311822.95,5.22
885205.43,14.83,1.49,311902.98,5.23
885253.67,14.83,1.49,311951.22,5.23
884740.62,14.83,1.48,311393.09,5.22
883673.14,14.83,1.48,311175.31,5.22
884504.75,14.84,1.5,311476.01,5.23
883991.7,14.84,1.49,310917.88,5.22
884823.31,14.85,1.51,311218.58,5.22
884675.41,14.85,1.51,311070.68,5.22
884675.41,14.85,1.51,311096.88,5.22
885475.38,14.86,1.52,311226.71,5.22
884962.32,14.86,1.51,310668.58,5.22
884450.51,14.85,1.51,310162.76,5.21
883938.69,14.85,1.5,309656.95,5.2
883437.14,14.84,1.5,309110.46,5.19
883750.26,14.85,1.5,308926.19,5.19
884063.37,14.85,1.51,308741.93,5.19
884063.37,14.85,1.51,308741.93,5.19
884376.49,14.86,1.52,308557.66,5.19
883863.43,14.86,1.51,307966.13,5.18
883350.37,14.85,1.51,307374.6,5.17
883663.49,14.86,1.51,307190.34,5.16
883640.43,14.86,1.51,307088.81,5.16
884302.3,14.87,1.53,307168.83,5.17
884379.24,14.87,1.53,307167.3,5.17
884220.54,14.87,1.53,307008.6,5.16
884220.54,14.87,1.53,307008.6,5.16
884220.54,14.87,1.53,307008.6,5.16
883708.73,14.86,1.52,306502.78,5.15
883207.17,14.86,1.51,305956.29,5.15
883048.47,14.85,1.51,305802.03,5.14
882546.91,14.85,1.5,305255.53,5.14
883378.53,14.86,1.52,305556.23,5.14
883988.58,14.88,1.53,305590.44,5.14
883988.58,14.88,1.53,305590.44,5.14
883297.03,14.87,1.52,304853.95,5.13
882795.47,14.86,1.52,304307.45,5.12
883108.59,14.87,1.52,304089.79,5.12
883045.91,14.87,1.53,302944.74,5.1
884295.35,14.9,1.55,303026.68,5.1
883785.44,14.89,1.55,302611.07,5.1
884240.5,14.9,1.55,303129.35,5.11
884081.42,14.9,1.55,302978.51,5.11
883915.38,14.9,1.56,302925.98,5.11
887321.5,14.96,1.61,305855.36,5.16
887893.65,14.97,1.63,305837.28,5.16
889123.37,14.99,1.65,306089.65,5.16
888974.9,14.99,1.65,306042.89,5.16
888974.9,14.99,1.65,306042.89,5.16
888673.68,14.99,1.64,305808.03,5.16
888525.2,14.99,1.64,305720.81,5.16
888012.15,14.98,1.64,305162.68,5.15
887418.26,14.98,1.64,305018.8,5.15
887301.63,14.98,1.64,305010.5,5.15
887020.08,14.98,1.64,304684.0,5.15
887534.8,14.99,1.65,305198.73,5.15
888272.36,15.0,1.66,305412.77,5.16
888123.88,15.0,1.66,305382.12,5.16
888576.03,15.01,1.67,305909.86,5.17
888279.09,15.01,1.67,305352.26,5.16
887808.47,15.01,1.66,304851.18,5.15
888016.02,15.01,1.67,305008.15,5.16
888296.13,15.02,1.67,304985.09,5.16
888740.59,15.02,1.68,305338.64,5.16
888679.1,15.03,1.68,305340.37,5.16
888679.1,15.03,1.68,305340.37,5.16
888530.63,15.03,1.68,305392.91,5.16
888229.4,15.02,1.68,305142.97,5.16
888229.4,15.02,1.68,305142.97,5.16
887828.17,15.02,1.67,304505.11,5.15
888145.38,15.02,1.68,304748.52,5.15
888050.73,15.02,1.68,303673.62,5.14
888107.01,15.03,1.68,304471.24,5.15
887882.81,15.03,1.68,304042.32,5.15
888061.21,15.03,1.69,304077.76,5.15
888101.44,15.03,1.69,304340.59,5.15
888141.67,15.04,1.69,303784.74,5.14
888196.64,15.04,1.7,303665.41,5.14
889047.56,15.06,1.71,304809.97,5.16
889257.8,15.06,1.72,304898.76,5.16
890803.67,15.09,1.75,306089.35,5.18
890687.04,15.09,1.75,306081.04,5.19
891751.47,15.11,1.77,306391.2,5.19
891559.79,15.11,1.77,306368.73,5.19
891559.79,15.11,1.77,306363.28,5.19
891600.02,15.11,1.77,305807.43,5.18
891451.55,15.11,1.77,305439.4,5.18
891368.53,15.11,1.77,305811.58,5.19
891368.53,15.11,1.77,305811.58,5.19
891154.61,15.11,1.77,305481.36,5.18
890834.61,15.11,1.76,305161.36,5.18
890686.14,15.11,1.76,304472.9,5.16
890686.14,15.11,1.76,304472.9,5.16
890726.37,15.11,1.77,304237.48,5.16
890726.37,15.11,1.77,304237.48,5.16
891012.19,15.12,1.77,304972.88,5.17
890430.72,15.11,1.77,304280.74,5.16
890032.2,15.1,1.76,303922.92,5.16
890023.23,15.11,1.76,303950.42,5.16
889801.53,15.1,1.76,303735.73,5.16
889801.53,15.1,1.76,303816.04,5.16
889504.66,15.1,1.76,303500.68,5.15
890822.65,15.12,1.78,304181.29,5.16
891197.8,15.13,1.79,303590.21,5.15
891142.33,15.13,1.79,303405.97,5.15
890959.43,15.13,1.79,303347.23,5.15
890819.68,15.13,1.79,304047.21,5.16
890623.19,15.13,1.79,303613.36,5.16
890623.19,15.13,1.79,303634.66,5.16
890474.72,15.13,1.79,303587.27,5.16
890760.08,15.14,1.79,303863.78,5.16
890484.18,15.13,1.79,303606.03,5.16
890110.35,15.13,1.78,303302.92,5.15
889888.92,15.12,1.78,303079.24,5.15
889740.45,15.12,1.78,302960.29,5.15
889591.98,15.12,1.78,302945.26,5.15
889380.28,15.12,1.78,302732.48,5.15
889380.28,15.12,1.78,302732.48,5.15
889263.66,15.12,1.78,302777.93,5.15
890786.4,15.15,1.81,303661.86,5.16
890669.77,15.15,1.81,303146.87,5.16
891034.31,15.16,1.82,302772.4,5.15
891034.31,15.16,1.82,302772.4,5.15
890966.32,15.16,1.82,303581.26,5.17
890966.32,15.16,1.82,303581.26,5.17
890849.7,15.16,1.82,303626.71,5.17
890987.51,15.16,1.82,303567.97,5.17
891416.49,15.17,1.83,302705.2,5.15
891346.84,15.17,1.83,304046.75,5.18
891198.37,15.17,1.83,303928.49,5.17
891483.73,15.18,1.83,304350.63,5.18
891109.9,15.17,1.83,303972.76,5.18
890961.43,15.17,1.83,303861.12,5.17
890812.96,15.17,1.83,303838.77,5.18
890812.96,15.17,1.83,303838.77,5.18
891515.7,15.19,1.84,303840.05,5.18
890448.22,15.19,1.85,303622.27,5.18
889936.6,15.18,1.84,303091.0,5.17
888869.12,15.18,1.84,302873.22,5.17
888409.8,15.18,1.84,302357.09,5.17
888293.17,15.18,1.84,301724.54,5.16
888387.23,15.18,1.84,301493.46,5.15
887793.34,15.18,1.84,301349.58,5.15
887676.72,15.18,1.84,301341.28,5.15
888414.27,15.2,1.86,301555.32,5.16
888324.32,15.2,1.86,301511.24,5.16
888324.32,15.2,1.86,301511.24,5.16
887256.84,15.2,1.86,301293.46,5.16
886581.99,15.19,1.85,300511.18,5.15
886581.99,15.19,1.85,300511.18,5.15
887384.1,15.21,1.86,301855.3,5.17
887384.1,15.21,1.86,301855.3,5.17
887235.63,15.21,1.86,301824.66,5.17
887680.08,15.22,1.87,302211.49,5.18
887680.08,15.22,1.87,302211.49,5.18
887531.61,15.22,1.87,302180.85,5.18
887383.13,15.22,1.87,302077.5,5.18
886879.71,15.21,1.87,301396.39,5.17
886731.23,15.21,1.87,301277.44,5.17
886731.23,15.21,1.87,301277.44,5.17
886731.23,15.21,1.87,301277.44,5.17
886731.23,15.21,1.87,301277.44,5.17
886446.5,15.21,1.86,301091.43,5.16
886731.87,15.21,1.87,301514.35,5.17
886615.24,15.21,1.87,301559.8,5.17
887352.79,15.23,1.88,301611.78,5.18
887352.79,15.23,1.88,301611.78,5.18
886285.31,15.23,1.89,301394.01,5.18
885962.27,15.23,1.88,301198.22,5.18
886118.95,15.23,1.89,302045.66,5.19
885051.48,15.24,1.89,301827.88,5.2
884903.0,15.24,1.89,301716.24,5.19
884651.24,15.23,1.89,301383.97,5.19
884277.41,15.23,1.88,301006.01,5.18
884881.08,15.24,1.9,300313.02,5.17
884732.61,15.24,1.9,300290.67,5.17
884798.06,15.24,1.9,300588.17,5.18
884681.43,15.24,1.9,300579.86,5.18
885610.29,15.26,1.92,300923.66,5.19
885601.32,15.26,1.92,300951.16,5.19
886422.52,15.28,1.94,301259.16,5.19
885922.84,15.27,1.93,300656.6,5.18
885922.84,15.27,1.93,300656.6,5.18
885774.36,15.27,1.93,300569.98,5.18
884706.89,15.28,1.93,300362.24,5.19
884558.42,15.28,1.93,300212.63,5.18
884342.3,15.28,1.93,299996.52,5.18
884386.19,15.28,1.93,300040.4,5.18
884773.27,15.29,1.94,300791.04,5.2
884619.24,15.29,1.94,300467.04,5.19
884470.77,15.29,1.94,300350.95,5.19
884322.3,15.29,1.94,300240.62,5.19
884275.55,15.29,1.94,300511.29,5.2
884025.36,15.29,1.94,300127.45,5.19
884310.72,15.29,1.95,300063.85,5.19
884162.25,15.29,1.95,299918.61,5.19
883842.25,15.29,1.94,299598.61,5.18
884178.7,15.3,1.95,300692.88,5.2
884030.22,15.3,1.95,300576.79,5.2
883881.75,15.3,1.95,300466.46,5.2
884161.87,15.3,1.96,301058.03,5.21
884013.4,15.3,1.96,301065.63,5.21
883631.67,15.3,1.95,300527.2,5.2
883404.61,15.3,1.95,300172.47,5.2
883084.61,15.29,1.95,299852.47,5.19
883804.72,15.31,1.96,300624.05,5.21
883804.72,15.31,1.96,300624.05,5.21
883656.25,15.31,1.96,300477.24,5.21
883656.25,15.31,1.96,300477.24,5.21
883529.01,15.31,1.96,301041.65,5.22
883818.24,15.32,1.97,300970.15,5.22
883890.84,15.32,1.97,300964.45,5.22
883601.91,15.31,1.97,300808.31,5.21
883453.44,15.31,1.97,300659.28,5.21
883326.19,15.32,1.97,300593.3,5.21
883326.19,15.32,1.97,300593.3,5.21
883620.61,15.32,1.98,301194.3,5.22
883472.14,15.32,1.98,301078.21,5.22
883048.26,15.32,1.97,300541.32,5.21
883333.62,15.32,1.98,300448.58,5.21
883554.85,15.33,1.99,301354.12,5.23
883055.66,15.32,1.98,300768.9,5.22
882930.49,15.32,1.98,300557.45,5.22
882930.49,15.32,1.98,300557.45,5.22
882645.0,15.32,1.98,300270.85,5.21
882645.0,15.32,1.98,300270.85,5.21
882685.24,15.32,1.98,299985.28,5.21
882725.47,15.33,1.98,299967.04,5.21
882577.0,15.33,1.98,300434.28,5.22
882428.53,15.33,1.98,300271.88,5.21
882468.76,15.33,1.98,300161.63,5.21
882647.16,15.33,1.99,300649.55,5.22
882687.39,15.34,1.99,300729.66,5.22
882528.69,15.33,1.99,300570.96,5.22
882814.05,15.34,2.0,300855.98,5.23
882854.28,15.34,2.0,300936.1,5.23
882480.45,15.34,1.99,300686.43,5.23
882480.45,15.34,1.99,300686.43,5.23
882765.81,15.34,2.0,300971.45,5.23
882617.34,15.34,2.0,300944.91,5.23
882319.14,15.34,2.0,300650.75,5.23
882170.67,15.34,2.0,300549.14,5.23
882022.2,15.34,2.0,300522.6,5.23
882022.2,15.34,2.0,300522.6,5.23
881873.73,15.34,2.0,300420.99,5.23
881716.32,15.34,1.99,300263.59,5.22
881716.32,15.34,1.99,300263.59,5.22
881567.85,15.34,1.99,300191.14,5.22
881194.02,15.33,1.99,299941.47,5.22
881045.55,15.33,1.99,299885.77,5.22
881045.55,15.33,1.99,299924.04,5.22
881330.91,15.34,1.99,300011.33,5.22
881182.44,15.34,1.99,300159.01,5.22
881222.67,15.34,2.0,300239.12,5.23
880955.84,15.34,1.99,299974.28,5.22
880807.36,15.34,1.99,299929.37,5.22
880985.76,15.34,2.0,299968.31,5.22
881026.0,15.35,2.0,300233.48,5.23
880877.52,15.35,2.0,300121.62,5.23
880877.52,15.35,2.0,300121.62,5.23
879810.05,15.35,2.0,299903.84,5.23
879677.64,15.35,2.0,299837.74,5.23
879677.64,15.35,2.0,299837.74,5.23
879717.87,15.35,2.01,300006.61,5.23
879569.4,15.35,2.01,299893.5,5.23
879420.93,15.35,2.01,299878.46,5.23
879272.46,15.35,2.01,299881.17,5.24
879123.99,15.35,2.01,299750.31,5.23
878975.52,15.35,2.01,299707.42,5.23
879207.62,15.36,2.01,299998.86,5.24
879059.15,15.36,2.01,299885.75,5.24
879237.55,15.36,2.02,300191.23,5.24
879089.08,15.36,2.02,300078.81,5.24
879374.44,15.37,2.02,300496.53,5.25
879374.44,15.37,2.02,300496.53,5.25
879414.67,15.37,2.03,300576.64,5.25
879040.84,15.36,2.02,300203.2,5.25
879326.2,15.37,2.03,300488.22,5.25
879366.43,15.37,2.03,300568.33,5.25
879217.96,15.37,2.03,300545.22,5.26
879069.49,15.37,2.03,300433.36,5.25
879109.72,15.38,2.03,300602.22,5.26
878961.25,15.38,2.03,300559.56,5.26
878686.33,15.37,2.03,300408.45,5.26
878537.86,15.37,2.03,300322.97,5.26
878831.4,15.38,2.04,300285.22,5.25
878682.93,15.38,2.04,300637.46,5.26
878534.46,15.38,2.04,300594.8,5.26
