ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b22c-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-used_nodes,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b22c-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-used_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b22c-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-used_gpu_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b22c-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-total_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b22c-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-arrived_gpu_milli
164,390,291620,6212,291620
165,392,292620,6212,292620
165,392,292840,6212,292840
166,396,294840,6212,294840
166,396,295490,6212,295490
166,396,295810,6212,295810
166,396,296460,6212,296460
167,398,296690,6212,296690
167,398,297500,6212,297500
167,398,297500,6212,297500
167,398,298500,6212,298500
167,398,298970,6212,298970
167,398,298970,6212,298970
167,398,299780,6212,299780
168,402,300250,6212,300250
168,402,301250,6212,301250
168,402,302060,6212,302060
168,402,303060,6212,303060
169,404,303710,6212,303710
169,404,304520,6212,304520
170,408,305330,6212,305330
170,408,306330,6212,306330
170,408,306980,6212,306980
171,412,307630,6212,307630
171,412,308630,6212,308630
172,416,309630,6212,309630
172,416,310280,6212,310280
172,416,311280,6212,311280
172,416,311280,6212,311280
173,420,312090,6212,312090
173,420,313090,6212,313090
173,420,314090,6212,314090
173,420,314090,6212,314090
173,420,315090,6212,315090
173,420,315410,6212,315410
174,424,316410,6212,316410
174,424,316410,6212,316410
174,424,317220,6212,317220
174,424,317220,6212,317220
174,424,318220,6212,318220
174,424,319220,6212,319220
174,424,319690,6212,319690
175,428,320690,6212,320690
175,428,320920,6212,320920
175,428,320920,6212,320920
175,428,321240,6212,321240
175,428,321710,6212,321710
176,432,322030,6212,322030
176,432,323030,6212,323030
176,432,323840,6212,323840
176,432,324840,6212,324840
176,432,325840,6212,325840
176,432,325840,6212,325840
177,434,326840,6212,326840
177,434,327310,6212,327310
177,434,327680,6212,327680
177,434,328150,6212,328150
177,434,328380,6212,328380
178,436,329380,6212,329380
178,436,330380,6212,330380
178,436,330600,6212,330600
178,436,330600,6212,330600
179,440,331600,6212,331600
179,440,332600,6212,332600
180,444,333600,6212,333600
180,444,333920,6212,333920
180,444,333920,6212,333920
180,444,334920,6212,334920
180,444,334920,6212,334920
181,448,335920,6212,335920
181,448,336390,6212,336390
181,448,336710,6212,336710
181,448,337030,6212,337030
182,450,338030,6212,338030
182,450,338500,6212,338500
182,450,338970,6212,338970
183,452,339970,6212,339970
183,452,340970,6212,340970
183,452,340970,6212,340970
183,452,341440,6212,341440
184,460,349440,6212,349440
184,460,350250,6212,350250
185,468,358250,6212,358250
185,468,359060,6212,359060
186,472,360060,6212,360060
186,472,360870,6212,360870
187,476,364870,6212,364870
188,480,365870,6212,365870
188,480,366870,6212,366870
188,480,367420,6212,367420
188,480,367420,6212,367420
189,488,375420,6212,375420
189,488,376420,6212,376420
189,488,376420,6212,376420
189,488,376740,6212,376740
189,488,376740,6212,376740
190,490,377740,6212,377740
190,490,377970,6212,377970
190,490,377970,6212,377970
191,492,378970,6212,378970
191,492,379970,6212,379970
191,492,380970,6212,380970
192,494,381970,6212,381970
192,494,381970,6212,381970
192,494,381970,6212,381970
192,494,381970,6212,381970
192,494,382410,6212,382410
