ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_18f4-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_nodes,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_18f4-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_18f4-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpu_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_18f4-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-total_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_18f4-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-arrived_gpu_milli
437,2255,270920,6212,270920
437,2255,271470,6212,271470
438,2257,271470,6212,271470
439,2265,271940,6212,271940
440,2267,272750,6212,272750
441,2269,273220,6212,273220
441,2269,273220,6212,273220
442,2277,273440,6212,273440
443,2279,274250,6212,274250
444,2287,275060,6212,275060
445,2289,275530,6212,275530
446,2297,276000,6212,276000
447,2299,276320,6212,276320
447,2299,276790,6212,276790
447,2299,276790,6212,276790
448,2301,277110,6212,277110
449,2309,277580,6212,277580
450,2317,277930,6212,277930
451,2319,278160,6212,278160
451,2319,278270,6212,278270
451,2319,278590,6212,278590
451,2319,278910,6212,278910
451,2319,279380,6212,279380
451,2319,279380,6212,279380
451,2319,279700,6212,279700
452,2321,280510,6212,280510
452,2321,280830,6212,280830
453,2323,281640,6212,281640
454,2331,282110,6212,282110
455,2333,282920,6212,282920
456,2341,282920,6212,282920
457,2343,283240,6212,283240
457,2343,283710,6212,283710
457,2343,284030,6212,284030
458,2345,284030,6212,284030
459,2353,284500,6212,284500
459,2353,285310,6212,285310
460,2361,286120,6212,286120
460,2361,286580,6212,286580
461,2363,287040,6212,287040
462,2367,287270,6212,287270
463,2369,287920,6212,287920
464,2377,288730,6212,288730
464,2377,289540,6212,289540
464,2377,289700,6212,289700
465,2385,289920,6212,289920
465,2385,290240,6212,290240
466,2393,290790,6212,290790
467,2401,291440,6212,291440
468,2409,291440,6212,291440
469,2417,291810,6212,291810
470,2421,292280,6212,292280
471,2429,292280,6212,292280
472,2431,292280,6212,292280
473,2433,293090,6212,293090
474,2435,293410,6212,293410
474,2435,294220,6212,294220
474,2435,294690,6212,294690
475,2439,295160,6212,295160
476,2443,295160,6212,295160
477,2451,295480,6212,295480
478,2459,295800,6212,295800
478,2459,296170,6212,296170
478,2459,296980,6212,296980
479,2461,296980,6212,296980
480,2469,297790,6212,297790
481,2471,298380,6212,298380
482,2475,298820,6212,298820
482,2475,299630,6212,299630
483,2483,299630,6212,299630
484,2491,299630,6212,299630
485,2493,300440,6212,300440
485,2493,301250,6212,301250
485,2493,301250,6212,301250
486,2495,301620,6212,301620
487,2497,301620,6212,301620
488,2505,301940,6212,301940
488,2505,301940,6212,301940
489,2513,302410,6212,302410
490,2515,303220,6212,303220
490,2515,303690,6212,303690
491,2517,304010,6212,304010
491,2517,304820,6212,304820
492,2525,305140,6212,305140
493,2533,305790,6212,305790
493,2533,306260,6212,306260
493,2533,307070,6212,307070
493,2533,307880,6212,307880
494,2535,308690,6212,308690
494,2535,309010,6212,309010
494,2535,309330,6212,309330
495,2536,309490,6212,309490
495,2536,309960,6212,309960
496,2544,310770,6212,310770
496,2544,311580,6212,311580
497,2546,312050,6212,312050
497,2546,312860,6212,312860
498,2554,312860,6212,312860
499,2562,313330,6212,313330
499,2562,314140,6212,314140
499,2562,314950,6212,314950
500,2564,315760,6212,315760
501,2572,316310,6212,316310
502,2580,317120,6212,317120
503,2582,317670,6212,317670
504,2584,318140,6212,318140
504,2584,318610,6212,318610
505,2586,319420,6212,319420
505,2586,319650,6212,319650
506,2588,320120,6212,320120
506,2588,320670,6212,320670
507,2596,321480,6212,321480
508,2598,321940,6212,321940
509,2606,322160,6212,322160
509,2606,322160,6212,322160
510,2608,322160,6212,322160
510,2608,322750,6212,322750
511,2610,323560,6212,323560
511,2610,324210,6212,324210
512,2618,324860,6212,324860
512,2618,325670,6212,325670
513,2620,325830,6212,325830
514,2622,326480,6212,326480
514,2622,326950,6212,326950
515,2623,327760,6212,327760
515,2623,328230,6212,328230
516,2631,329040,6212,329040
516,2631,329850,6212,329850
517,2639,330170,6212,330170
517,2639,330720,6212,330720
518,2643,331190,6212,331190
519,2645,332000,6212,332000
520,2646,332810,6212,332810
520,2646,333130,6212,333130
520,2646,333600,6212,333600
521,2654,334410,6212,334410
521,2654,334880,6212,334880
522,2656,335200,6212,335200
523,2664,335200,6212,335200
523,2664,335200,6212,335200
523,2664,335420,6212,335420
524,2672,336070,6212,336070
525,2680,336880,6212,336880
526,2688,337690,6212,337690
526,2688,337690,6212,337690
527,2696,338150,6212,338150
528,2704,338610,6212,338610
528,2704,339420,6212,339420
529,2712,340230,6212,340230
530,2714,341040,6212,341040
530,2714,341850,6212,341850
530,2714,342660,6212,342660
530,2714,343470,6212,343470
530,2714,343790,6212,343790
531,2716,344250,6212,344250
531,2716,344720,6212,344720
531,2716,345040,6212,345040
532,2718,345850,6212,345850
533,2720,346320,6212,346320
533,2720,347130,6212,347130
533,2720,347450,6212,347450
533,2720,347920,6212,347920
534,2722,348730,6212,348730
535,2724,349200,6212,349200
536,2726,349850,6212,349850
537,2734,350320,6212,350320
538,2736,351130,6212,351130
539,2738,351600,6212,351600
539,2738,352250,6212,352250
539,2738,353060,6212,353060
540,2746,353380,6212,353380
541,2748,354030,6212,354030
542,2756,354030,6212,354030
542,2756,354840,6212,354840
543,2764,355160,6212,355160
543,2764,355480,6212,355480
544,2766,355800,6212,355800
545,2774,356170,6212,356170
545,2774,356170,6212,356170
545,2774,356980,6212,356980
546,2776,357790,6212,357790
547,2784,357950,6212,357950
548,2786,358170,6212,358170
549,2794,358980,6212,358980
549,2794,359450,6212,359450
550,2802,359910,6212,359910
551,2810,360280,6212,360280
552,2818,360930,6212,360930
553,2826,361740,6212,361740
553,2826,361740,6212,361740
553,2826,362390,6212,362390
553,2826,362620,6212,362620
554,2828,362990,6212,362990
555,2830,363360,6212,363360
556,2832,363520,6212,363520
557,2834,363840,6212,363840
558,2842,364310,6212,364310
558,2842,364780,6212,364780
558,2842,365100,6212,365100
559,2846,365100,6212,365100
560,2854,365570,6212,365570
561,2862,366040,6212,366040
561,2862,366510,6212,366510
562,2864,367320,6212,367320
563,2866,367790,6212,367790
564,2868,368600,6212,368600
565,2872,369250,6212,369250
565,2872,369480,6212,369480
565,2872,370290,6212,370290
565,2872,370750,6212,370750
566,2874,371220,6212,371220
567,2876,371540,6212,371540
567,2876,371590,6212,371590
568,2884,372060,6212,372060
569,2886,372650,6212,372650
569,2886,373120,6212,373120
570,2888,373590,6212,373590
571,2896,374060,6212,374060
571,2896,374520,6212,374520
571,2896,375330,6212,375330
572,2904,375790,6212,375790
572,2904,376600,6212,376600
572,2904,376830,6212,376830
573,2906,377300,6212,377300
574,2908,377950,6212,377950
574,2908,378270,6212,378270
575,2910,378740,6212,378740
575,2910,379550,6212,379550
576,2918,379870,6212,379870
576,2918,380330,6212,380330
577,2920,380800,6212,380800
577,2920,381270,6212,381270
577,2920,381590,6212,381590
577,2920,382060,6212,382060
578,2922,382530,6212,382530
579,2930,382850,6212,382850
580,2938,383400,6212,383400
581,2940,384210,6212,384210
581,2940,385020,6212,385020
581,2940,385830,6212,385830
581,2940,386640,6212,386640
582,2948,387450,6212,387450
583,2950,387920,6212,387920
584,2958,388730,6212,388730
584,2958,388730,6212,388730
585,2966,389540,6212,389540
585,2966,389540,6212,389540
586,2968,390010,6212,390010
586,2968,390330,6212,390330
586,2968,391140,6212,391140
586,2968,391610,6212,391610
587,2976,392420,6212,392420
588,2984,393230,6212,393230
589,2985,393550,6212,393550
589,2985,394360,6212,394360
589,2985,395170,6212,395170
589,2985,395980,6212,395980
589,2985,395980,6212,395980
590,2987,396210,6212,396210
591,2995,396800,6212,396800
591,2995,397270,6212,397270
591,2995,398080,6212,398080
591,2995,398240,6212,398240
592,2997,399050,6212,399050
593,2999,399370,6212,399370
594,3001,400180,6212,400180
594,3001,400730,6212,400730
594,3001,401380,6212,401380
595,3009,401380,6212,401380
595,3009,401970,6212,401970
595,3009,401970,6212,401970
596,3017,402290,6212,402290
597,3018,402450,6212,402450
597,3018,402680,6212,402680
597,3018,403330,6212,403330
598,3020,404140,6212,404140
599,3028,404950,6212,404950
600,3036,405270,6212,405270
601,3040,405920,6212,405920
602,3042,406240,6212,406240
602,3042,406560,6212,406560
602,3042,406560,6212,406560
603,3044,406560,6212,406560
603,3044,407030,6212,407030
603,3044,407350,6212,407350
604,3052,407820,6212,407820
604,3052,408290,6212,408290
604,3052,409100,6212,409100
604,3052,409570,6212,409570
604,3052,410380,6212,410380
604,3052,410850,6212,410850
605,3054,411320,6212,411320
605,3054,412130,6212,412130
606,3062,412780,6212,412780
606,3062,413590,6212,413590
606,3062,414240,6212,414240
606,3062,414710,6212,414710
607,3070,414930,6212,414930
607,3070,415580,6212,415580
607,3070,415580,6212,415580
607,3070,416050,6212,416050
607,3070,416370,6212,416370
608,3078,416840,6212,416840
608,3078,416840,6212,416840
608,3078,417490,6212,417490
608,3078,417490,6212,417490
608,3078,417810,6212,417810
608,3078,418400,6212,418400
609,3086,419210,6212,419210
610,3090,419670,6212,419670
610,3090,420140,6212,420140
611,3092,420360,6212,420360
612,3094,420820,6212,420820
612,3094,421290,6212,421290
613,3096,421880,6212,421880
614,3104,422530,6212,422530
614,3104,423000,6212,423000
615,3106,423320,6212,423320
615,3106,424130,6212,424130
616,3114,424130,6212,424130
617,3116,424130,6212,424130
617,3116,424130,6212,424130
618,3118,424780,6212,424780
619,3120,425250,6212,425250
620,3122,425250,6212,425250
620,3122,425710,6212,425710
620,3122,425870,6212,425870
621,3130,425870,6212,425870
622,3134,426340,6212,426340
623,3142,426990,6212,426990
623,3142,427800,6212,427800
623,3142,428610,6212,428610
624,3150,429420,6212,429420
624,3150,429890,6212,429890
624,3150,430360,6212,430360
624,3150,431170,6212,431170
624,3150,431640,6212,431640
624,3150,432450,6212,432450
625,3158,432770,6212,432770
626,3166,432770,6212,432770
626,3166,433090,6212,433090
626,3166,433090,6212,433090
626,3166,433090,6212,433090
627,3174,433410,6212,433410
627,3174,433880,6212,433880
628,3182,434530,6212,434530
628,3182,435000,6212,435000
628,3182,435320,6212,435320
628,3182,435550,6212,435550
629,3184,436360,6212,436360
629,3184,436680,6212,436680
630,3192,437490,6212,437490
631,3200,437960,6212,437960
631,3200,438770,6212,438770
631,3200,438930,6212,438930
631,3200,439400,6212,439400
632,3208,439400,6212,439400
633,3210,440210,6212,440210
633,3210,440210,6212,440210
633,3210,440680,6212,440680
634,3218,441150,6212,441150
634,3218,441960,6212,441960
634,3218,442280,6212,442280
635,3226,443090,6212,443090
636,3234,443090,6212,443090
636,3234,443090,6212,443090
636,3234,443410,6212,443410
637,3236,443880,6212,443880
637,3236,443880,6212,443880
638,3244,444350,6212,444350
639,3252,445160,6212,445160
640,3260,445160,6212,445160
640,3260,445160,6212,445160
640,3260,445480,6212,445480
641,3268,445950,6212,445950
641,3268,446760,6212,446760
641,3268,446760,6212,446760
642,3276,446760,6212,446760
642,3276,446760,6212,446760
642,3276,447350,6212,447350
642,3276,447810,6212,447810
642,3276,448460,6212,448460
642,3276,449010,6212,449010
643,3278,449660,6212,449660
643,3278,450470,6212,450470
644,3282,450940,6212,450940
644,3282,451170,6212,451170
645,3284,451170,6212,451170
