ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6ae2-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_nodes,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6ae2-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6ae2-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpu_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6ae2-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-total_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6ae2-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-arrived_gpu_milli
340,1811,364870,6212,364870
340,1811,365870,6212,365870
341,1813,366870,6212,366870
341,1813,367420,6212,367420
342,1815,367420,6212,367420
343,1823,375420,6212,375420
344,1825,376420,6212,376420
345,1833,376420,6212,376420
346,1837,376740,6212,376740
347,1839,376740,6212,376740
348,1847,377740,6212,377740
349,1849,377970,6212,377970
350,1851,377970,6212,377970
351,1853,378970,6212,378970
352,1861,379970,6212,379970
352,1861,380970,6212,380970
352,1861,381970,6212,381970
353,1869,381970,6212,381970
354,1871,381970,6212,381970
355,1873,381970,6212,381970
356,1881,382410,6212,382410
357,1889,382880,6212,382880
357,1889,383880,6212,383880
358,1893,384880,6212,384880
359,1901,384880,6212,384880
360,1909,392880,6212,392880
361,1911,393690,6212,393690
362,1913,394690,6212,394690
363,1921,402690,6212,402690
364,1929,403690,6212,403690
365,1931,404240,6212,404240
366,1939,404710,6212,404710
367,1940,405520,6212,405520
368,1942,406520,6212,406520
368,1942,406980,6212,406980
369,1950,407980,6212,407980
369,1950,408980,6212,408980
370,1952,409980,6212,409980
371,1954,410980,6212,410980
371,1954,411790,6212,411790
372,1956,411790,6212,411790
373,1964,412790,6212,412790
374,1972,420790,6212,420790
375,1980,421790,6212,421790
376,1988,422600,6212,422600
377,1996,423150,6212,423150
378,2004,423620,6212,423620
379,2012,424620,6212,424620
380,2020,425620,6212,425620
381,2022,426620,6212,426620
382,2030,427620,6212,427620
383,2038,428620,6212,428620
