ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6ae2-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6ae2-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_ratio,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6ae2-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_q124,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6ae2-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6ae2-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_ratio
885015.06,14.88,1.53,340188.82,5.72
884986.88,14.88,1.54,340214.38,5.72
885370.75,14.89,1.54,340040.21,5.72
886032.62,14.9,1.56,340124.99,5.72
886605.06,14.91,1.57,340097.29,5.72
887109.29,14.92,1.57,340078.18,5.72
887109.29,14.92,1.57,339964.43,5.72
887109.29,14.92,1.57,339872.08,5.72
886685.41,14.91,1.57,339335.2,5.71
886725.64,14.92,1.57,339239.65,5.71
887229.86,14.92,1.58,339220.54,5.71
887390.39,14.93,1.59,339258.36,5.71
887675.75,14.93,1.59,339134.94,5.71
887527.28,14.93,1.59,339021.83,5.7
887584.9,14.94,1.59,338966.9,5.7
887556.72,14.94,1.59,338974.43,5.71
887596.95,14.94,1.6,338890.85,5.7
887568.77,14.94,1.6,338905.81,5.71
887271.83,14.94,1.6,338777.67,5.71
887243.65,14.94,1.6,338792.62,5.71
887215.48,14.95,1.6,338779.25,5.71
887659.93,14.95,1.61,338829.96,5.71
887511.46,14.95,1.61,338716.85,5.71
887214.51,14.95,1.61,338539.63,5.71
887214.51,14.95,1.61,338455.9,5.71
887066.04,14.95,1.61,338342.79,5.7
886917.57,14.96,1.61,338300.13,5.7
886889.39,14.96,1.61,338315.09,5.71
886947.01,14.96,1.61,338287.27,5.71
887232.37,14.96,1.62,338359.43,5.71
887204.2,14.97,1.62,338374.38,5.71
887244.43,14.97,1.63,338289.12,5.71
886650.54,14.97,1.63,338443.16,5.71
886622.37,14.97,1.63,338458.12,5.71
886974.76,14.98,1.63,338438.96,5.72
887349.91,14.99,1.64,338987.54,5.72
887201.44,14.99,1.64,338961.01,5.73
