ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_886d-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-origin_milli,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_886d-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-origin_ratio,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_886d-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-origin_q124,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_886d-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-bellman_milli,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_886d-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-bellman_ratio
403701.87,6.76,1.58,156360.56,2.62
405084.41,6.78,1.61,156966.79,2.63
405084.41,6.78,1.61,156966.79,2.63
404429.38,6.77,1.6,156239.09,2.62
404701.79,6.78,1.6,156302.43,2.62
404650.07,6.78,1.6,156451.06,2.62
405058.25,6.78,1.61,156879.87,2.63
405466.43,6.79,1.62,157072.99,2.63
405414.7,6.79,1.62,157069.55,2.63
405362.98,6.79,1.62,156959.34,2.63
405311.25,6.79,1.62,156845.68,2.63
405259.53,6.79,1.62,156845.68,2.63
405243.42,6.79,1.62,157075.05,2.63
406174.45,6.81,1.64,157455.18,2.64
406158.34,6.81,1.64,157684.56,2.64
405503.32,6.8,1.63,156956.86,2.63
406434.35,6.82,1.65,157336.99,2.64
406902.48,6.83,1.65,157805.12,2.65
406902.48,6.83,1.65,157805.12,2.65
406850.76,6.83,1.65,157784.66,2.65
407194.98,6.83,1.66,158128.87,2.65
406644.95,6.82,1.65,157336.34,2.64
406917.36,6.83,1.66,157568.78,2.64
406917.36,6.83,1.66,157568.78,2.64
406865.63,6.83,1.66,157565.34,2.64
407243.77,6.84,1.66,157943.48,2.65
407192.04,6.84,1.66,157833.26,2.65
407464.45,6.84,1.67,157896.6,2.65
407010.52,6.84,1.66,157315.38,2.64
406958.8,6.84,1.66,157464.48,2.65
407366.98,6.84,1.67,157657.61,2.65
407315.25,6.84,1.67,157552.97,2.65
407263.53,6.84,1.67,157543.95,2.65
407355.53,6.85,1.67,157252.4,2.64
407830.62,6.86,1.68,157904.74,2.65
409195.19,6.88,1.71,159575.4,2.68
409179.08,6.88,1.71,159804.78,2.69
409135.76,6.88,1.71,159771.8,2.69
408585.73,6.87,1.7,158979.27,2.67
409516.77,6.89,1.72,159238.32,2.68
409394.94,6.89,1.72,159022.52,2.68
409801.28,6.9,1.72,159404.82,2.68
409441.25,6.89,1.72,158802.29,2.67
409372.19,6.89,1.72,158154.9,2.66
410888.02,6.92,1.74,159752.62,2.69
411258.74,6.92,1.75,159881.78,2.69
411207.01,6.92,1.75,160033.99,2.69
411299.01,6.93,1.75,160253.18,2.7
412335.9,6.94,1.77,160642.4,2.71
412319.79,6.95,1.77,160871.77,2.71
412174.01,6.94,1.77,160725.99,2.71
413049.93,6.96,1.79,160815.31,2.71
412822.7,6.96,1.78,160704.59,2.71
412806.59,6.96,1.79,160810.6,2.71
412777.2,6.96,1.79,160290.71,2.7
413145.81,6.97,1.79,160507.22,2.71
412683.42,6.96,1.79,159948.96,2.7
412574.79,6.96,1.79,159979.2,2.7
412523.07,6.96,1.79,159975.76,2.7
