ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_886d-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-used_nodes,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_886d-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-used_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_886d-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-used_gpu_milli,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_886d-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-total_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_886d-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-arrived_gpu_milli
177,388,271190,6212,271190
178,390,271660,6212,271660
178,390,272660,6212,272660
179,394,273660,6212,273660
179,394,274660,6212,274660
180,398,275660,6212,275660
180,398,276470,6212,276470
180,398,277470,6212,277470
180,398,278280,6212,278280
181,402,279280,6212,279280
181,402,281280,6212,281280
181,402,281750,6212,281750
181,402,282560,6212,282560
181,402,283370,6212,283370
182,404,284370,6212,284370
182,404,284690,6212,284690
182,404,285160,6212,285160
182,404,285710,6212,285710
182,404,286710,6212,286710
183,408,287710,6212,287710
183,408,288520,6212,288520
183,408,289330,6212,289330
183,408,289330,6212,289330
183,408,290330,6212,290330
183,408,290790,6212,290790
184,412,291260,6212,291260
184,412,291260,6212,291260
184,412,291910,6212,291910
184,412,292380,6212,292380
184,412,292750,6212,292750
184,412,293750,6212,293750
184,412,293750,6212,293750
185,416,294750,6212,294750
185,416,295750,6212,295750
185,416,296750,6212,296750
186,420,297400,6212,297400
186,420,298400,6212,298400
186,420,298870,6212,298870
186,420,299680,6212,299680
186,420,300490,6212,300490
186,420,301300,6212,301300
186,420,302110,6212,302110
187,424,303110,6212,303110
187,424,304110,6212,304110
187,424,305110,6212,305110
187,424,305580,6212,305580
188,428,306580,6212,306580
188,428,307580,6212,307580
188,428,308390,6212,308390
188,428,308710,6212,308710
188,428,309710,6212,309710
188,428,310030,6212,310030
189,432,311030,6212,311030
189,432,311840,6212,311840
