ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5fa9-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_nodes,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5fa9-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5fa9-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpu_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5fa9-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-total_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5fa9-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-arrived_gpu_milli
515,2663,543940,6212,543940
515,2663,543940,6212,543940
516,2671,544310,6212,544310
516,2671,544900,6212,544900
516,2671,545900,6212,545900
516,2671,546900,6212,546900
516,2671,547900,6212,547900
516,2671,548900,6212,548900
516,2671,548900,6212,548900
516,2671,549900,6212,549900
516,2671,550900,6212,550900
516,2671,551900,6212,551900
517,2679,552360,6212,552360
517,2679,553170,6212,553170
518,2681,553390,6212,553390
518,2681,553550,6212,553550
519,2689,554550,6212,554550
519,2689,555550,6212,555550
520,2691,556360,6212,556360
520,2691,557360,6212,557360
521,2693,558360,6212,558360
521,2693,559360,6212,559360
522,2695,560360,6212,560360
523,2703,561360,6212,561360
524,2705,561360,6212,561360
525,2713,562360,6212,562360
525,2713,563360,6212,563360
526,2715,564360,6212,564360
526,2715,565360,6212,565360
527,2723,566010,6212,566010
528,2731,567010,6212,567010
529,2733,568010,6212,568010
529,2733,569010,6212,569010
530,2741,570010,6212,570010
531,2749,570010,6212,570010
532,2753,571010,6212,571010
532,2753,572010,6212,572010
533,2755,572480,6212,572480
534,2759,572950,6212,572950
534,2759,573950,6212,573950
534,2759,574760,6212,574760
535,2761,575760,6212,575760
536,2769,576030,6212,576030
537,2777,577030,6212,577030
538,2785,578030,6212,578030
539,2793,579030,6212,579030
540,2801,580030,6212,580030
541,2803,580500,6212,580500
542,2805,581500,6212,581500
543,2807,582150,6212,582150
543,2807,583150,6212,583150
544,2815,584150,6212,584150
545,2817,584960,6212,584960
546,2825,585430,6212,585430
547,2833,585890,6212,585890
547,2833,586890,6212,586890
547,2833,587890,6212,587890
548,2835,588890,6212,588890
549,2843,589890,6212,589890
550,2851,590700,6212,590700
551,2852,591700,6212,591700
551,2852,592700,6212,592700
552,2860,593700,6212,593700
553,2862,594510,6212,594510
554,2863,595320,6212,595320
554,2863,596130,6212,596130
555,2871,597130,6212,597130
556,2879,598130,6212,598130
556,2879,598940,6212,598940
557,2881,599940,6212,599940
558,2882,600750,6212,600750
558,2882,601340,6212,601340
559,2890,602340,6212,602340
560,2892,603340,6212,603340
560,2892,603340,6212,603340
561,2894,604340,6212,604340
561,2894,604570,6212,604570
561,2894,605380,6212,605380
562,2896,606380,6212,606380
563,2904,606850,6212,606850
564,2908,607170,6212,607170
565,2916,608170,6212,608170
565,2916,608490,6212,608490
566,2918,609300,6212,609300
566,2918,610300,6212,610300
567,2920,611300,6212,611300
567,2920,611760,6212,611760
568,2928,612760,6212,612760
569,2936,613760,6212,613760
570,2938,614230,6212,614230
570,2938,615230,6212,615230
571,2940,616230,6212,616230
571,2940,617230,6212,617230
572,2948,617780,6212,617780
573,2950,618780,6212,618780
573,2950,619780,6212,619780
573,2950,620590,6212,620590
573,2950,621590,6212,621590
574,2954,622140,6212,622140
575,2958,623140,6212,623140
575,2958,623510,6212,623510
576,2966,624510,6212,624510
577,2968,625510,6212,625510
577,2968,625830,6212,625830
578,2970,626640,6212,626640
579,2978,634640,6212,634640
580,2980,635640,6212,635640
580,2980,636640,6212,636640
581,2988,637640,6212,637640
581,2988,638640,6212,638640
581,2988,639640,6212,639640
581,2988,639870,6212,639870
582,2992,640340,6212,640340
582,2992,640570,6212,640570
583,2994,641570,6212,641570
583,2994,641890,6212,641890
583,2994,642360,6212,642360
584,2996,643360,6212,643360
584,2996,644360,6212,644360
585,2998,645170,6212,645170
585,2998,645980,6212,645980
585,2998,646980,6212,646980
586,3000,647980,6212,647980
587,3002,648980,6212,648980
587,3002,649980,6212,649980
588,3004,650980,6212,650980
589,3012,650980,6212,650980
589,3012,651980,6212,651980
589,3012,652790,6212,652790
589,3012,653600,6212,653600
590,3014,654070,6212,654070
591,3022,655070,6212,655070
592,3030,656070,6212,656070
592,3030,657070,6212,657070
592,3030,657540,6212,657540
593,3032,658540,6212,658540
594,3034,659540,6212,659540
595,3042,660540,6212,660540
595,3042,661540,6212,661540
595,3042,662540,6212,662540
595,3042,662860,6212,662860
596,3044,663670,6212,663670
596,3044,664670,6212,664670
596,3044,665670,6212,665670
596,3044,666670,6212,666670
596,3044,667670,6212,667670
596,3044,668480,6212,668480
597,3048,669480,6212,669480
597,3048,670290,6212,670290
598,3050,670610,6212,670610
598,3050,671610,6212,671610
599,3052,672260,6212,672260
599,3052,673260,6212,673260
599,3052,674260,6212,674260
600,3054,675260,6212,675260
601,3062,675580,6212,675580
601,3062,676580,6212,676580
602,3070,677580,6212,677580
603,3072,678580,6212,678580
603,3072,679050,6212,679050
604,3074,679280,6212,679280
605,3082,680280,6212,680280
606,3090,680280,6212,680280
606,3090,680600,6212,680600
606,3090,681070,6212,681070
607,3098,682070,6212,682070
607,3098,682550,6212,682550
608,3100,683360,6212,683360
608,3100,684170,6212,684170
609,3102,684330,6212,684330
610,3104,685140,6212,685140
611,3106,685950,6212,685950
611,3106,686760,6212,686760
611,3106,686760,6212,686760
611,3106,687230,6212,687230
612,3114,688230,6212,688230
612,3114,689230,6212,689230
612,3114,690230,6212,690230
613,3118,691230,6212,691230
613,3118,692040,6212,692040
613,3118,692850,6212,692850
614,3126,693320,6212,693320
615,3134,693910,6212,693910
616,3142,694910,6212,694910
616,3142,695910,6212,695910
617,3144,696380,6212,696380
617,3144,697380,6212,697380
617,3144,698380,6212,698380
617,3144,699380,6212,699380
617,3144,700190,6212,700190
618,3146,701190,6212,701190
619,3154,702190,6212,702190
620,3162,703190,6212,703190
620,3162,704190,6212,704190
621,3164,704190,6212,704190
622,3172,704410,6212,704410
623,3174,705410,6212,705410
623,3174,706410,6212,706410
624,3182,707410,6212,707410
624,3182,708410,6212,708410
624,3182,709410,6212,709410
625,3190,710060,6212,710060
626,3198,710870,6212,710870
626,3198,711870,6212,711870
627,3206,712870,6212,712870
627,3206,713340,6212,713340
627,3206,713800,6212,713800
627,3206,714800,6212,714800
628,3208,715610,6212,715610
628,3208,716610,6212,716610
628,3208,716610,6212,716610
628,3208,716610,6212,716610
629,3210,717610,6212,717610
629,3210,718420,6212,718420
630,3212,719420,6212,719420
630,3212,720420,6212,720420
631,3214,721420,6212,721420
632,3216,721890,6212,721890
633,3224,722890,6212,722890
634,3232,723890,6212,723890
634,3232,724540,6212,724540
635,3240,725540,6212,725540
635,3240,726350,6212,726350
635,3240,727350,6212,727350
635,3240,727350,6212,727350
635,3240,727350,6212,727350
636,3242,727350,6212,727350
637,3244,728160,6212,728160
637,3244,728160,6212,728160
637,3244,729160,6212,729160
638,3252,730160,6212,730160
639,3260,731160,6212,731160
639,3260,731630,6212,731630
640,3268,735630,6212,735630
640,3268,736440,6212,736440
641,3276,736910,6212,736910
641,3276,737230,6212,737230
642,3284,738040,6212,738040
642,3284,738850,6212,738850
642,3284,739660,6212,739660
643,3286,740660,6212,740660
644,3294,741660,6212,741660
645,3302,742660,6212,742660
646,3310,743470,6212,743470
647,3312,744470,6212,744470
648,3320,745470,6212,745470
648,3320,746280,6212,746280
648,3320,747280,6212,747280
648,3320,748090,6212,748090
648,3320,749090,6212,749090
649,3324,749560,6212,749560
650,3332,749560,6212,749560
651,3334,750560,6212,750560
652,3342,751030,6212,751030
653,3344,752030,6212,752030
653,3344,752840,6212,752840
654,3352,753310,6212,753310
654,3352,754310,6212,754310
654,3352,755310,6212,755310
654,3352,755680,6212,755680
654,3352,756150,6212,756150
655,3360,757150,6212,757150
656,3368,757610,6212,757610
656,3368,758080,6212,758080
657,3376,759080,6212,759080
657,3376,759550,6212,759550
658,3384,760550,6212,760550
659,3386,761550,6212,761550
660,3394,761870,6212,761870
660,3394,762870,6212,762870
661,3396,763870,6212,763870
662,3404,764870,6212,764870
