ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5fa9-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5fa9-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_ratio,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5fa9-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_q124,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5fa9-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5fa9-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_ratio
375642.31,6.23,1.06,176794.55,2.93
375590.58,6.23,1.06,176794.55,2.93
376192.27,6.24,1.07,177681.21,2.95
376140.54,6.24,1.07,177681.21,2.95
376277.37,6.25,1.07,177803.83,2.95
376797.59,6.26,1.08,177803.83,2.95
377250.97,6.26,1.09,177803.83,2.95
377199.25,6.26,1.09,177803.83,2.95
377561.4,6.27,1.1,177690.72,2.95
377509.67,6.27,1.1,177661.23,2.95
377536.83,6.27,1.1,177578.17,2.95
377673.66,6.28,1.1,177578.17,2.95
378044.38,6.28,1.11,177578.17,2.95
377992.65,6.28,1.11,177465.07,2.95
377940.93,6.28,1.11,177461.82,2.95
377889.21,6.28,1.11,177462.27,2.95
377837.48,6.28,1.11,177462.27,2.95
377785.76,6.28,1.11,177462.27,2.95
377734.03,6.28,1.11,177462.27,2.95
377682.31,6.28,1.11,177458.83,2.95
378053.03,6.29,1.12,177458.83,2.95
378001.3,6.29,1.12,177455.59,2.95
378001.3,6.29,1.12,177455.59,2.95
378273.71,6.3,1.12,177455.59,2.95
378221.99,6.3,1.12,177455.59,2.95
378170.26,6.3,1.12,177455.59,2.95
378532.42,6.3,1.13,176847.0,2.94
378669.24,6.31,1.13,176453.73,2.94
378617.52,6.31,1.13,176453.73,2.94
378565.79,6.31,1.13,176453.73,2.94
378514.07,6.31,1.13,176453.73,2.94
378462.34,6.31,1.13,176453.73,2.94
378410.62,6.31,1.13,176448.95,2.94
378346.87,6.31,1.13,176449.01,2.94
378295.15,6.31,1.13,176449.01,2.94
378243.42,6.31,1.13,176428.7,2.94
378191.7,6.31,1.13,176428.7,2.94
378139.98,6.31,1.13,176428.7,2.94
378088.25,6.31,1.13,176428.7,2.94
378458.97,6.31,1.14,176428.7,2.94
378407.25,6.31,1.14,176428.74,2.94
378355.52,6.31,1.14,176408.43,2.94
378148.62,6.31,1.14,176408.43,2.95
378096.9,6.31,1.14,176408.43,2.95
378422.27,6.32,1.15,176295.32,2.94
378789.7,6.33,1.16,176043.02,2.94
379233.96,6.34,1.16,175930.68,2.94
379687.33,6.34,1.17,176057.23,2.94
380131.58,6.35,1.18,176057.23,2.94
380079.86,6.35,1.18,176057.23,2.94
380051.88,6.35,1.18,176052.46,2.94
380000.15,6.35,1.18,176052.49,2.94
379948.43,6.35,1.18,176052.42,2.94
380319.14,6.36,1.19,176052.42,2.94
380591.55,6.36,1.19,176052.42,2.94
380539.83,6.36,1.19,176032.1,2.94
380910.55,6.37,1.2,176032.1,2.94
380858.82,6.37,1.2,176002.61,2.94
381327.45,6.38,1.21,175918.58,2.94
381275.72,6.38,1.21,175889.09,2.94
381744.35,6.39,1.22,175805.05,2.94
381692.63,6.39,1.22,175801.81,2.94
381640.9,6.39,1.22,175772.32,2.94
381589.18,6.39,1.22,175660.08,2.94
382042.55,6.4,1.23,175660.08,2.94
381990.83,6.4,1.23,175567.3,2.94
382127.65,6.4,1.23,175567.3,2.94
382264.48,6.4,1.23,175754.41,2.94
382635.2,6.41,1.24,175754.41,2.94
382772.02,6.41,1.24,175877.03,2.95
383142.74,6.42,1.25,175877.03,2.95
383596.12,6.43,1.26,175877.03,2.95
383732.94,6.43,1.26,175999.64,2.95
383681.22,6.43,1.26,175886.54,2.95
384006.58,6.44,1.27,175267.07,2.94
383954.86,6.44,1.27,175267.07,2.94
383903.13,6.44,1.27,175202.07,2.94
384039.96,6.44,1.27,175703.45,2.95
383988.24,6.44,1.27,175700.21,2.95
383972.13,6.44,1.27,175929.58,2.95
384244.53,6.45,1.28,175993.47,2.95
384192.81,6.45,1.28,175993.47,2.95
384141.08,6.45,1.28,175928.48,2.95
384277.91,6.45,1.28,176051.09,2.96
384656.6,6.46,1.29,176051.09,2.96
384929.01,6.46,1.29,176114.99,2.96
384877.28,6.46,1.29,176031.38,2.96
384825.56,6.46,1.29,176028.14,2.96
384773.83,6.46,1.29,176027.27,2.96
385283.03,6.47,1.3,176027.29,2.96
385231.31,6.47,1.3,176006.98,2.96
386050.25,6.49,1.31,176271.14,2.96
386420.97,6.49,1.32,176572.06,2.97
386693.38,6.5,1.33,176572.06,2.97
386641.65,6.5,1.33,176572.06,2.97
387012.37,6.51,1.33,176572.06,2.97
387284.78,6.51,1.34,176768.23,2.97
387233.05,6.51,1.34,176738.74,2.97
387181.33,6.51,1.34,176709.25,2.97
387378.36,6.52,1.34,176239.08,2.96
387326.63,6.52,1.34,176239.08,2.97
387274.91,6.52,1.34,176126.84,2.96
387743.54,6.53,1.35,176042.81,2.96
387880.36,6.53,1.36,176042.81,2.96
389681.1,6.56,1.39,177227.2,2.98
389629.37,6.56,1.39,177227.2,2.98
390000.09,6.57,1.39,177342.14,2.99
389948.37,6.57,1.39,177312.65,2.99
389896.64,6.57,1.39,177312.65,2.99
390350.02,6.57,1.4,177312.65,2.99
390298.29,6.57,1.4,177262.91,2.99
390246.57,6.58,1.4,177262.91,2.99
390571.93,6.58,1.41,177262.91,2.99
390520.21,6.58,1.41,177262.91,2.99
390468.49,6.58,1.41,177262.91,2.99
390452.37,6.58,1.41,177492.28,2.99
391269.61,6.6,1.42,177720.24,3.0
391217.88,6.6,1.42,177720.24,3.0
391166.16,6.6,1.43,177720.24,3.0
391114.44,6.6,1.43,177699.92,3.0
391062.71,6.6,1.43,177699.92,3.0
391010.99,6.6,1.43,177586.82,3.0
391010.99,6.6,1.43,177586.82,3.0
